class_name,precision,recall,f1-score,support
be_injured_by_a_collision,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
clean_sample,0.9696969696969697,0.9320388349514563,0.9504950495049505,103.0
coating_cracking,1.0,1.0,1.0,4.0
convex_powder,0.75,0.8571428571428571,0.8,7.0
crazing,1.0,1.0,1.0,30.0
dirty_spot,0.8666666666666667,0.5909090909090909,0.7027027027027027,22.0
drain_bottom,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
inclusion,0.8823529411764706,1.0,0.9375,30.0
non_conducting,1.0,0.8,0.8888888888888888,5.0
orange_peel,0.9,1.0,0.9473684210526315,9.0
patches,1.0,1.0,1.0,31.0
pitted_surface,1.0,0.8,0.8888888888888888,30.0
pitting,1.0,1.0,1.0,6.0
rolled_in_scale,0.8823529411764706,1.0,0.9375,30.0
scratches,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
scuffing,0.5714285714285714,0.75,0.6486486486486487,16.0
the_transverse_strip_is_dented,1.0,1.0,1.0,6.0
