image_path,true_class,pred_class
data\splits\test\be_injured_by_a_collision\碰伤20180910105812对照样本.jpg,be_injured_by_a_collision,dirty_spot
data\splits\test\clean_sample\正常20180912104030对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180913145353对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180913145409对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913150046对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180913152320对照样本.jpg,clean_sample,dirty_spot
data\splits\test\clean_sample\正常20180913165441对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180913170242对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180914094552对照样本.jpg,clean_sample,drain_bottom
data\splits\test\clean_sample\正常20180915143118对照样本.jpg,clean_sample,scuffing
data\splits\test\clean_sample\正常20180915145934对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\clean_sample\正常20180915164851对照样本.jpg,clean_sample,be_injured_by_a_collision
data\splits\test\coating_cracking\涂层开裂20180905151530对照样本.jpg,coating_cracking,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180831143909对照样本.jpg,dirty_spot,be_injured_by_a_collision
data\splits\test\dirty_spot\脏点20180831163127对照样本.jpg,dirty_spot,scuffing
data\splits\test\dirty_spot\脏点20180907152023对照样本.jpg,dirty_spot,the_transverse_strip_is_dented
data\splits\test\dirty_spot\脏点20180907153736对照样本.jpg,dirty_spot,clean_sample
data\splits\test\dirty_spot\脏点20180911104657对照样本.jpg,dirty_spot,scuffing
data\splits\test\inclusion\inclusion_20.jpg,inclusion,pitted_surface
data\splits\test\inclusion\inclusion_227.jpg,inclusion,pitted_surface
data\splits\test\inclusion\inclusion_256.jpg,inclusion,pitted_surface
data\splits\test\non_conducting\不导电20180830131551对照样本.jpg,non_conducting,orange_peel
data\splits\test\non_conducting\不导电20180830135013对照样本.jpg,non_conducting,drain_bottom
data\splits\test\scuffing\擦花20180831105830对照样本.jpg,scuffing,drain_bottom
data\splits\test\scuffing\擦花20180831105841对照样本.jpg,scuffing,drain_bottom
data\splits\test\scuffing\擦花20180901141725对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180906093322对照样本.jpg,scuffing,dirty_spot
data\splits\test\scuffing\擦花20180906093612对照样本.jpg,scuffing,be_injured_by_a_collision
data\splits\test\scuffing\擦花20180906100117对照样本.jpg,scuffing,convex_powder
data\splits\test\scuffing\擦花20180915102435对照样本.jpg,scuffing,convex_powder
