class_name,precision,recall,f1-score,support
be_injured_by_a_collision,0.5333333333333333,0.8888888888888888,0.6666666666666666,9.0
clean_sample,0.989247311827957,0.8932038834951457,0.9387755102040817,103.0
coating_cracking,1.0,0.75,0.8571428571428571,4.0
convex_powder,0.7,1.0,0.8235294117647058,7.0
crazing,1.0,1.0,1.0,30.0
dirty_spot,0.85,0.7727272727272727,0.8095238095238095,22.0
drain_bottom,0.8787878787878788,1.0,0.9354838709677419,29.0
inclusion,1.0,0.9,0.9473684210526315,30.0
non_conducting,1.0,0.6,0.75,5.0
orange_peel,0.9,1.0,0.9473684210526315,9.0
patches,1.0,1.0,1.0,31.0
pitted_surface,0.9090909090909091,1.0,0.9523809523809523,30.0
pitting,1.0,1.0,1.0,6.0
rolled_in_scale,1.0,1.0,1.0,30.0
scratches,1.0,1.0,1.0,30.0
scuffing,0.5625,0.5625,0.5625,16.0
the_transverse_strip_is_dented,0.8571428571428571,1.0,0.9230769230769231,6.0
